t, Precipitation,t, Flow,,,,, 
40908,0,40908,2478.836,,,,,
40908.1,0,40908.1,2478.842,,,,,
40908.2,0,40908.2,2478.848,,,,,
40908.3,0,40908.3,2478.854,,,,,
40908.4,0,40908.4,2478.86,,,,,
40908.5,0,40908.5,2478.866,,,,,
40908.6,0,40908.6,2478.872,,,,,
40908.7,0,40908.7,2478.878,,,,,
40908.8,0,40908.8,2478.884,,,,,
40908.9,0,40908.9,2478.89,,,,,
40909,0,40909,2478.896,,,,,
40909.1,0,40909.1,2478.902,,,,,
40909.2,0,40909.2,2478.908,,,,,
40909.3,0,40909.3,2478.914,,,,,
40909.4,0,40909.4,2478.92,,,,,
40909.5,0,40909.5,2478.926,,,,,
40909.6,0,40909.6,2478.932,,,,,
40909.7,0,40909.7,2478.939,,,,,
40909.8,0,40909.8,2478.945,,,,,
40909.9,0,40909.9,2478.951,,,,,
40910,0,40910,2478.957,,,,,
40910.1,0,40910.1,2478.963,,,,,
40910.2,0,40910.2,2478.969,,,,,
40910.3,0,40910.3,2478.975,,,,,
40910.4,0,40910.4,2478.981,,,,,
40910.5,0,40910.5,2478.987,,,,,
40910.6,0,40910.6,2478.993,,,,,
40910.7,0,40910.7,2478.999,,,,,
40910.8,0,40910.8,2479.005,,,,,
40910.9,0,40910.9,2479.011,,,,,
40911,0,40911,2479.017,,,,,
40911.1,0,40911.1,2479.023,,,,,
40911.2,0,40911.2,2479.029,,,,,
40911.3,0,40911.3,2479.036,,,,,
40911.4,0,40911.4,2479.042,,,,,
40911.5,0,40911.5,2479.048,,,,,
40911.6,0,40911.6,2479.054,,,,,
40911.7,0,40911.7,2479.06,,,,,
40911.8,0,40911.8,2479.066,,,,,
40911.9,0,40911.9,2479.072,,,,,
40912,0,40912,2479.078,,,,,
40912.1,0,40912.1,2479.084,,,,,
40912.2,0,40912.2,2479.09,,,,,
40912.3,0,40912.3,2479.096,,,,,
40912.4,0,40912.4,2479.102,,,,,
40912.5,0,40912.5,2479.108,,,,,
40912.6,0,40912.6,2479.114,,,,,
40912.7,0,40912.7,2479.12,,,,,
40912.8,0,40912.8,2479.126,,,,,
40912.9,0,40912.9,2479.132,,,,,
40913,0,40913,2479.139,,,,,
40913.1,0,40913.1,2479.145,,,,,
40913.2,0,40913.2,2479.151,,,,,
40913.3,0,40913.3,2479.157,,,,,
40913.4,0,40913.4,2479.163,,,,,
40913.5,0,40913.5,2479.169,,,,,
40913.6,0,40913.6,2479.175,,,,,
40913.7,0,40913.7,2479.181,,,,,
40913.8,0,40913.8,2479.187,,,,,
40913.9,0,40913.9,2479.193,,,,,
40914,0,40914,2479.199,,,,,
40914.1,0,40914.1,2479.205,,,,,
40914.2,0,40914.2,2479.211,,,,,
40914.3,0,40914.3,2479.217,,,,,
40914.4,0,40914.4,2479.223,,,,,
40914.5,0,40914.5,2479.229,,,,,
40914.6,0,40914.6,2479.235,,,,,
40914.7,0,40914.7,2479.242,,,,,
40914.8,0,40914.8,2479.248,,,,,
40914.9,0,40914.9,2479.254,,,,,
40915,0,40915,2479.26,,,,,
40915.1,0,40915.1,2479.266,,,,,
40915.2,0,40915.2,2479.272,,,,,
40915.3,0,40915.3,2479.278,,,,,
40915.4,0,40915.4,2479.284,,,,,
40915.5,0,40915.5,2479.29,,,,,
40915.6,0,40915.6,2479.296,,,,,
40915.7,0,40915.7,2479.302,,,,,
40915.8,0,40915.8,2479.308,,,,,
40915.9,0,40915.9,2479.314,,,,,
40916,0,40916,2479.32,,,,,
40916.1,0,40916.1,2479.326,,,,,
40916.2,0,40916.2,2479.332,,,,,
40916.3,0,40916.3,2479.338,,,,,
40916.4,0,40916.4,2479.345,,,,,
40916.5,0,40916.5,2479.351,,,,,
