t, Precipitation, Flow
12/31/11,0,2478.836
12/31/11,0,2478.842
12/31/11,0,2478.848
12/31/11,0,2478.854
12/31/11,0,2478.86
12/31/11,0,2478.866
12/31/11,0,2478.872
12/31/11,0,2478.878
12/31/11,0,2478.884
12/31/11,0,2478.89
01/01/12,0,2478.896
01/01/12,0,2478.902
01/01/12,0,2478.908
01/01/12,0,2478.914
01/01/12,0,2478.92
01/01/12,0,2478.926
01/01/12,0,2478.932
01/01/12,0,2478.939
01/01/12,0,2478.945
01/01/12,0,2478.951
01/02/12,0,2478.957
01/02/12,0,2478.963
01/02/12,0,2478.969
01/02/12,0,2478.975
01/02/12,0,2478.981
01/02/12,0,2478.987
01/02/12,0,2478.993
01/02/12,0,2478.999
01/02/12,0,2479.005
01/02/12,0,2479.011
01/03/12,0,2479.017
01/03/12,0,2479.023
01/03/12,0,2479.029
01/03/12,0,2479.036
01/03/12,0,2479.042
01/03/12,0,2479.048
01/03/12,0,2479.054
01/03/12,0,2479.06
01/03/12,0,2479.066
01/03/12,0,2479.072
01/04/12,0,2479.078
01/04/12,0,2479.084
01/04/12,0,2479.09
01/04/12,0,2479.096
01/04/12,0,2479.102
01/04/12,0,2479.108
01/04/12,0,2479.114
01/04/12,0,2479.12
01/04/12,0,2479.126
01/04/12,0,2479.132
01/05/12,0,2479.139
01/05/12,0,2479.145
01/05/12,0,2479.151
01/05/12,0,2479.157
01/05/12,0,2479.163
01/05/12,0,2479.169
01/05/12,0,2479.175
01/05/12,0,2479.181
01/05/12,0,2479.187
01/05/12,0,2479.193
01/06/12,0,2479.199
01/06/12,0,2479.205
01/06/12,0,2479.211
01/06/12,0,2479.217
01/06/12,0,2479.223
01/06/12,0,2479.229
01/06/12,0,2479.235
01/06/12,0,2479.242
01/06/12,0,2479.248
01/06/12,0,2479.254
01/07/12,0,2479.26
01/07/12,0,2479.266
01/07/12,0,2479.272
01/07/12,0,2479.278
01/07/12,0,2479.284
01/07/12,0,2479.29
01/07/12,0,2479.296
01/07/12,0,2479.302
01/07/12,0,2479.308
01/07/12,0,2479.314
01/08/12,0,2479.32
01/08/12,0,2479.326
01/08/12,0,2479.332
01/08/12,0,2479.338
01/08/12,0,2479.345
01/08/12,0,2479.351
01/08/12,0.0001,2479.357
01/08/12,0.00075552,2479.363
01/08/12,6.666667E-05,2479.369
01/08/12,0,2479.375
01/09/12,0,2479.381
01/09/12,0,2479.387
01/09/12,0,2479.393
01/09/12,0,2479.399
01/09/12,0,2479.405
01/09/12,0,2479.411
01/09/12,0,2479.417
01/09/12,0,2479.423
01/09/12,0,2479.429
01/09/12,0,2479.435
01/10/12,0,2479.441
01/10/12,0,2479.448
01/10/12,0,2479.454
01/10/12,0,2479.46
01/10/12,0,2479.466
01/10/12,1.112E-05,2479.472
01/10/12,4.666347E-05,2479.478
01/10/12,9.332853E-05,2479.484
01/10/12,0.0006666667,2479.49
01/10/12,0.0005179468,2479.496
01/11/12,0.001319942,2479.502
01/11/12,0.0001,2479.508
01/11/12,0.0002801153,2479.514
01/11/12,0,2479.52
01/11/12,0,2479.526
01/11/12,0,2479.532
01/11/12,0,2479.538
01/11/12,0,2479.545
01/11/12,0,2479.551
01/11/12,0,2479.557
01/12/12,1.334293E-05,2479.563
01/12/12,5.333653E-05,2479.569
01/12/12,0,2479.575
01/12/12,0,2479.581
01/12/12,0,2479.587
01/12/12,0,2479.593
01/12/12,0,2479.599
01/12/12,0,2479.605
01/12/12,0,2479.611
01/12/12,0,2479.617
01/13/12,0,2479.623
01/13/12,0,2479.629
01/13/12,0,2479.635
01/13/12,0,2479.641
01/13/12,0,2479.648
01/13/12,0,2479.654
01/13/12,0,2479.66
01/13/12,0,2479.666
01/13/12,0,2479.672
01/13/12,0,2479.678
01/14/12,0,2479.684
01/14/12,0,2479.69
01/14/12,0,2479.696
01/14/12,0,2479.702
01/14/12,0,2479.708
01/14/12,0,2479.714
01/14/12,0,2479.72
01/14/12,0,2479.726
01/14/12,0,2479.732
01/14/12,0,2479.738
01/15/12,0,2479.744
01/15/12,0,2479.751
01/15/12,0,2479.757
01/15/12,0,2479.763
01/15/12,0,2479.769
01/15/12,0,2479.775
01/15/12,0,2479.781
01/15/12,0,2479.787
01/15/12,0,2479.793
01/15/12,0.0002200144,2479.799
01/16/12,2.668586E-05,2479.805
01/16/12,0.0001399904,2479.811
01/16/12,0.0001866571,2479.817
01/16/12,0.0001,2479.823
01/16/12,0.0005866331,2479.829
01/16/12,0,2479.835
01/16/12,0,2479.841
01/16/12,0,2479.847
01/16/12,0,2479.854
01/16/12,0,2479.86
01/17/12,0,2479.866
01/17/12,0,2479.872
01/17/12,0,2479.878
01/17/12,0,2479.884
01/17/12,0,2479.89
01/17/12,0,2479.896
01/17/12,0,2479.902
01/17/12,0,2479.908
01/17/12,0,2479.914
01/17/12,0,2479.92
01/18/12,0,2479.926
01/18/12,0,2479.932
01/18/12,0,2479.938
01/18/12,0,2479.944
01/18/12,0,2479.95
01/18/12,0,2479.957
01/18/12,0,2479.963
01/18/12,0,2479.969
01/18/12,0,2479.975
01/18/12,0,2479.981
01/19/12,0,2479.987
01/19/12,0,2479.993
01/19/12,0,2479.999
01/19/12,0,2480.005
01/19/12,0,2480.011
01/19/12,0,2480.017
01/19/12,0,2480.023
01/19/12,0,2480.029
01/19/12,0,2480.035
01/19/12,0,2480.041
01/20/12,0.0004692137,2480.047
01/20/12,0.0004799808,2480.054
01/20/12,0.0001200144,2480.06
01/20/12,4.000576E-05,2480.066
01/20/12,0,2480.072
01/20/12,0,2480.078
01/20/12,0,2480.084
01/20/12,0,2480.09
01/20/12,0,2480.096
01/20/12,0,2480.102
01/21/12,0,2480.108
01/21/12,0,2480.114
01/21/12,0,2480.12
01/21/12,0,2480.126
01/21/12,0,2480.132
01/21/12,0,2480.138
01/21/12,0,2480.144
01/21/12,0,2480.15
01/21/12,0,2480.157
01/21/12,0,2480.163
01/22/12,0,2480.169
01/22/12,0,2480.175
01/22/12,0,2480.181
01/22/12,0,2480.187
01/22/12,0,2480.193
01/22/12,0,2480.199
01/22/12,0,2480.205
01/22/12,0,2480.211
01/22/12,0,2480.217
01/22/12,0,2480.223
01/23/12,0,2480.229
01/23/12,0,2480.235
01/23/12,0,2480.241
01/23/12,0,2480.247
01/23/12,0,2480.253
01/23/12,0,2480.26
01/23/12,0,2480.266
01/23/12,0,2480.272
01/23/12,0,2480.278
01/23/12,0,2480.284
01/24/12,0,2480.29
01/24/12,0,2480.296
01/24/12,0,2480.302
01/24/12,0,2480.308
01/24/12,0,2480.314
01/24/12,0,2480.32
01/24/12,0,2480.326
01/24/12,0,2480.332
01/24/12,0,2480.338
01/24/12,0,2480.344
01/25/12,0,2480.35
01/25/12,0,2480.356
01/25/12,0,2480.363
01/25/12,0,2480.369
01/25/12,0,2480.375
01/25/12,0,2480.381
01/25/12,0,2480.387
01/25/12,0,2480.393
01/25/12,0,2480.399
01/25/12,0,2480.405
01/26/12,0,2480.411
01/26/12,0,2480.417
01/26/12,0,2480.423
01/26/12,0,2480.429
01/26/12,0.003442099,2480.435
01/26/12,0,2480.441
01/26/12,0,2480.447
01/26/12,0,2480.453
01/26/12,0,2480.459
01/26/12,0,2480.466
01/27/12,0,2480.472
01/27/12,0,2480.478
01/27/12,0,2480.484
01/27/12,0,2480.49
01/27/12,0,2480.496
01/27/12,0,2480.502
01/27/12,0,2480.508
01/27/12,0,2480.514
01/27/12,0,2480.52
01/27/12,0,2480.526
01/28/12,0,2480.532
01/28/12,0,2480.538
01/28/12,0,2480.544
01/28/12,0,2480.55
01/28/12,0,2480.556
01/28/12,0,2480.563
01/28/12,0,2480.569
01/28/12,0,2480.575
01/28/12,0,2480.581
01/28/12,0,2480.587
01/29/12,0,2480.593
01/29/12,0,2480.599
01/29/12,0,2480.605
01/29/12,0,2480.611
01/29/12,0,2480.617
01/29/12,0,2480.623
01/29/12,0,2480.629
01/29/12,0,2480.635
01/29/12,0,2480.641
01/29/12,0,2480.647
01/30/12,0,2480.653
01/30/12,0,2480.659
01/30/12,0,2480.666
01/30/12,0,2480.672
01/30/12,0,2480.678
01/30/12,0,2480.684
01/30/12,0,2480.69
01/30/12,0,2480.696
01/30/12,0,2480.702
01/30/12,0,2480.708
01/31/12,0,2480.714
01/31/12,0,2480.72
01/31/12,0,2480.726
01/31/12,6.666667E-05,2480.732
01/31/12,0,2480.738
01/31/12,0,2480.744
01/31/12,0,2480.75
01/31/12,0,2480.756
01/31/12,0,2480.762
01/31/12,0,2480.769
02/01/12,0,2480.775
02/01/12,0,2480.781
02/01/12,0.0002133429,2480.787
02/01/12,0,2480.793
02/01/12,0,2480.799
02/01/12,0,2480.805
02/01/12,0,2480.811
02/01/12,0,2480.817
